id,zip,name,county
206,06098,Winsted,Litchfield
207,06750,Bantam,Litchfield
208,06751,Bethlehem,Litchfield
209,06752,Bridgewater,Litchfield
210,06753,Cornwall,Litchfield
211,06754,Cornwall Bridge,Litchfield
212,06755,Gaylordsville,Litchfield
213,06756,Goshen,Litchfield
214,06757,Kent,Litchfield
215,06758,Lakeside,Litchfield
216,06759,Litchfield,Litchfield
217,06763,Morris,Litchfield
218,06776,New Milford,Litchfield
219,06777,New Preston Marble Dale,Litchfield
220,06778,Northfield,Litchfield
221,06779,Oakville,Litchfield
222,06781,Pequabuck,Litchfield
223,06782,Plymouth,Litchfield
224,06783,Roxbury,Litchfield
225,06785,South Kent,Litchfield
226,06786,Terryville,Litchfield
227,06787,Thomaston,Litchfield
228,06790,Torrington,Litchfield
229,06791,Harwinton,Litchfield
230,06792,Torrington,Litchfield
231,06793,Washington,Litchfield
232,06794,Washington Depot,Litchfield
233,06795,Watertown,Litchfield
234,06796,West Cornwall,Litchfield
235,06798,Woodbury,Litchfield
236,06409,Centerbrook,Middlesex
237,06412,Chester,Middlesex
238,06413,Clinton,Middlesex
239,06414,Cobalt,Middlesex
240,06416,Cromwell,Middlesex
241,06417,Deep River,Middlesex
242,06419,Killingworth,Middlesex
243,06422,Durham,Middlesex
244,06423,East Haddam,Middlesex
245,06424,East Hampton,Middlesex
246,06426,Essex,Middlesex
247,06438,Haddam,Middlesex
248,06441,Higganum,Middlesex
249,06442,Ivoryton,Middlesex
250,06455,Middlefield,Middlesex
251,06456,Middle Haddam,Middlesex
252,06457,Middletown,Middlesex
253,06459,Middletown,Middlesex
254,06469,Moodus,Middlesex
255,06475,Old Saybrook,Middlesex
256,06480,Portland,Middlesex
257,06481,Rockfall,Middlesex
258,06498,Westbrook,Middlesex
259,06401,Ansonia,New Haven
260,06403,Beacon Falls,New Haven
261,06405,Branford,New Haven
262,06408,Cheshire,New Haven
263,06410,Cheshire,New Haven
264,06411,Cheshire,New Haven
265,06418,Derby,New Haven
266,06437,Guilford,New Haven
267,06443,Madison,New Haven
268,06450,Meriden,New Haven
269,06451,Meriden,New Haven
270,06460,Milford,New Haven
271,06461,Milford,New Haven
272,06471,North Branford,New Haven
273,06472,Northford,New Haven
274,06473,North Haven,New Haven
275,06477,Orange,New Haven
276,06478,Oxford,New Haven
277,06483,Seymour,New Haven
278,06487,South Britain,New Haven
279,06488,Southbury,New Haven
280,06492,Wallingford,New Haven
281,06493,Wallingford,New Haven
282,06494,Wallingford,New Haven
283,06495,Wallingford,New Haven
284,06501,New Haven,New Haven
285,06502,New Haven,New Haven
286,06503,New Haven,New Haven
287,06504,New Haven,New Haven
288,06505,New Haven,New Haven
289,06506,New Haven,New Haven
290,06507,New Haven,New Haven
291,06508,New Haven,New Haven
292,06509,New Haven,New Haven
293,06510,New Haven,New Haven
294,06511,New Haven,New Haven
295,06512,New Haven,New Haven
296,06513,New Haven,New Haven
297,06514,Hamden,New Haven
298,06515,New Haven,New Haven
299,06516,West Haven,New Haven
300,06517,Hamden,New Haven
301,06518,Hamden,New Haven
302,06519,New Haven,New Haven
303,06520,New Haven,New Haven
304,06521,New Haven,New Haven
305,06524,Bethany,New Haven
306,06525,New Haven,New Haven
307,06530,New Haven,New Haven
308,06531,New Haven,New Haven
309,06532,New Haven,New Haven
310,06533,New Haven,New Haven
311,06534,New Haven,New Haven
312,06535,New Haven,New Haven
313,06536,New Haven,New Haven
314,06537,New Haven,New Haven
315,06538,New Haven,New Haven
316,06540,New Haven,New Haven
317,06701,Waterbury,New Haven
318,06702,Waterbury,New Haven
319,06703,Waterbury,New Haven
320,06704,Waterbury,New Haven
321,06705,Waterbury,New Haven
322,06706,Waterbury,New Haven
323,06708,Waterbury,New Haven
324,06710,Waterbury,New Haven
325,06712,Prospect,New Haven
326,06716,Wolcott,New Haven
327,06720,Waterbury,New Haven
328,06721,Waterbury,New Haven
329,06722,Waterbury,New Haven
330,06723,Waterbury,New Haven
331,06724,Waterbury,New Haven
332,06725,Waterbury,New Haven
333,06726,Waterbury,New Haven
334,06749,Waterbury,New Haven
335,06762,Middlebury,New Haven
336,06770,Naugatuck,New Haven
337,06249,Lebanon,New London
338,06254,North Franklin,New London
339,06320,New London,New London
340,06330,Baltic,New London
341,06333,East Lyme,New London
342,06334,Bozrah,New London
343,06335,Gales Ferry,New London
344,06336,Gilman,New London
345,06338,Mashantucket,New London
346,06339,Ledyard,New London
347,06340,Groton,New London
348,06349,Groton,New London
349,06350,Hanover,New London
350,06351,Jewett City,New London
351,06353,Montville,New London
352,06355,Mystic,New London
353,06357,Niantic,New London
354,06359,North Stonington,New London
355,06360,Norwich,New London
356,06365,Preston,New London
357,06370,Oakdale,New London
358,06371,Old Lyme,New London
359,06372,Old Mystic,New London
360,06375,Quaker Hill,New London
361,06376,South Lyme,New London
362,06378,Stonington,New London
363,06379,Pawcatuck,New London
364,06380,Taftville,New London
365,06382,Uncasville,New London
366,06383,Versailles,New London
367,06384,Voluntown,New London
368,06385,Waterford,New London
369,06388,West Mystic,New London
370,06389,Yantic,New London
371,06415,Colchester,New London
372,06420,Salem,New London
373,06439,Hadlyme,New London
374,06474,North Westchester,New London
375,06029,Ellington,Tolland
376,06043,Bolton,Tolland
377,06066,Vernon Rockville,Tolland
378,06071,Somers,Tolland
379,06072,Somersville,Tolland
380,06075,Stafford,Tolland
381,06076,Stafford Springs,Tolland
382,06077,Staffordville,Tolland
383,06084,Tolland,Tolland
384,06231,Amston,Tolland
385,06232,Andover,Tolland
386,06237,Columbia,Tolland
387,06238,Coventry,Tolland
388,06248,Hebron,Tolland
389,06250,Mansfield Center,Tolland
390,06251,Mansfield Depot,Tolland
391,06265,South Willington,Tolland
392,06268,Storrs Mansfield,Tolland
393,06269,Storrs Mansfield,Tolland
394,06279,Willington,Tolland
395,06226,Willimantic,Windham
396,06230,Abington,Windham
397,06233,Ballouville,Windham
398,06234,Brooklyn,Windham
399,06235,Chaplin,Windham
400,06239,Danielson,Windham
401,06241,Dayville,Windham
402,06242,Eastford,Windham
403,06243,East Killingly,Windham
404,06244,East Woodstock,Windham
405,06245,Fabyan,Windham
406,06246,Grosvenor Dale,Windham
407,06247,Hampton,Windham
408,06255,North Grosvenordale,Windham
409,06256,North Windham,Windham
410,06258,Pomfret,Windham
411,06259,Pomfret Center,Windham
412,06260,Putnam,Windham
413,06262,Quinebaug,Windham
414,06263,Rogers,Windham
415,06264,Scotland,Windham
416,06266,South Windham,Windham
417,06267,South Woodstock,Windham
418,06277,Thompson,Windham
419,06278,Ashford,Windham
420,06280,Windham,Windham
421,06281,Woodstock,Windham
422,06282,Woodstock Valley,Windham
423,06331,Canterbury,Windham
424,06332,Central Village,Windham
425,06354,Moosup,Windham
426,06373,Oneco,Windham
427,06374,Plainfield,Windham
428,06377,Sterling,Windham
429,06387,Wauregan,Windham
430,06351,Lisbon,New London
